text,IsHAB_AIDE_SOC
"This establishment is a Accueil de jour located in REYRIEUX, AIN. Its legal status is Privé non lucratif. It is classified as: day care facility. It has a capacity of 18 places. It offers day care, an Alzheimer specialized unit. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a Accueil de jour located in ST TRIVIER DE COURTES, AIN. Its legal status is Privé non lucratif. It is classified as: day care facility. It has a capacity of 12 places. It offers day care, an Alzheimer specialized unit. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a Accueil de jour located in GEX, AIN. Its legal status is Privé non lucratif. It is classified as: day care facility. It has a capacity of 12 places. It offers day care, an Alzheimer specialized unit. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",0
"This establishment is a Accueil de jour located in REPLONGES, AIN. Its legal status is Public. It is classified as: day care facility. It has a capacity of 10 places. It offers day care, an Alzheimer specialized unit. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a Accueil de jour located in BELLEY, AIN. Its legal status is Privé non lucratif. It is classified as: day care facility. It has a capacity of 10 places. It offers day care. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a Accueil de jour located in OYONNAX, AIN. Its legal status is Privé non lucratif. It is classified as: day care facility. It has a capacity of 12 places. It offers day care, an Alzheimer specialized unit. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BELLEGARDE SUR VALSERINE, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 67 places. It offers complete accommodation. It does not have APL housing support. The median minimum price in its department is 1796.55 euros. It has 0 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in VILLEREVERSURE, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 90 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1998.9 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BOURG EN BRESSE, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 105 places. It offers complete accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 1933.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BELLEY, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 60 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 1819.8 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in LAGNIEU, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 93 places. It offers complete accommodation, day care. It does not have APL housing support. Its minimum price is 1956.9 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 5 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BAGE LE CHATEL, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 95 places. It offers complete accommodation. It does not have APL housing support. Its minimum price is 1781.4 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in BELLEY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 185 places. It offers complete accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 1739.7 euros. The median minimum price in its department is 1796.55 euros. Its price is below the department median price. Its price is slightly lower than the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in PONT DE VEYLE, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 113 places. It offers complete accommodation, temporary accommodation, day care, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 1839.6 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 9 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in THOISSEY, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 171 places. It offers complete accommodation, temporary accommodation, day care. It has APL housing support. Its minimum price is 1839.6 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in HAUTEVILLE LOMPNES, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 50 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It does not have APL housing support. Its minimum price is 2107.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 6 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in JUJURIEUX, AIN. Its legal status is Privé non lucratif. It is classified as: EHPAD. It has a capacity of 72 places. It offers complete accommodation, temporary accommodation, an Alzheimer specialized unit. It has APL housing support. Its minimum price is 2068.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 6 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
"This establishment is a EHPAD located in REYRIEUX, AIN. Its legal status is Public. It is classified as: EHPAD. It has a capacity of 190 places. It offers complete accommodation, an Alzheimer specialized unit, a reinforced accommodation unit, an adapted care and activity center. It has APL housing support. Its minimum price is 1894.2 euros. The median minimum price in its department is 1796.55 euros. Its price is above the department median price. Its price is close to the department median. It has 7 EHPAD price fields filled. It has 0 residence autonomy price fields filled.",1
