feature,importance
ehpadPrice.prixHebPermCsa,0.09512572292201889
ehpadPrice.prixHebPermCs,0.08795082739411451
nb_prix_ehpad_renseignes,0.060700806720481816
legal_status_Privé commercial,0.055058066119370454
ratio_prix_dept,0.04997542896219741
ecart_prix_dept,0.049037859111038334
IsEHPAD,0.048429381985814104
type_principal_EHPAD,0.04003775589255063
prixMin,0.037072308173995025
ehpadPrice.prixHebTempCs,0.028122033261374604
prix_median_dept,0.026582593177579574
IsESLD,0.02652416582237701
ehpadPrice.prixHebPermCda,0.026517988120542697
ehpadPrice.prixHebPermCd,0.026289581499470895
legal_status_Public,0.024829114953894442
capacity,0.024017903990162688
coordinates.longitude,0.022677101153926554
coordinates.latitude,0.018957906416944153
ehpadPrice.tarifGir12,0.018818595813031247
type_principal_ESLD,0.01731730788979469
nb_prix_ra_renseignes,0.015911339553204895
ehpadPrice.tarifGir34,0.015578443161204198
ehpadPrice.prixHebTempCsa,0.015066067161110369
nb_services_specialises,0.014926804106034607
ehpadPrice.tarifGir56,0.014118198089606961
raPrice.PrixF1ASH,0.011751303901194277
legal_status_Privé non lucratif,0.010050301244650747
raPrice.PrixF1Bis,0.008985988976427777
raPrice.PrixF1BisASH,0.0073176737869266924
ehpadPrice.prixHebTempCd,0.006774569558362378
coordinates.deptcode_75,0.005586490099509829
IsF2,0.0048780468932620264
IsACC_JOUR,0.004798796804898134
raPrice.PrixF2,0.004720413148007893
IsRA,0.00447462833112814
raPrice.PrixF1,0.004363453143529193
type_principal_Résidence autonomie,0.004016649600277926
IsCONV_APL,0.003531701876694542
raPrice.PrixF2ASH,0.0034401907907944595
IsPASA,0.00339796486178325
coordinates.deptcode_62,0.002861661522866766
aide_logement_apl,0.0028597871846943856
IsALZH,0.00252165060173269
IsHTEMPO,0.0024261379145715167
IsAJA,0.0023765673609631986
IsHCOMPL,0.0023698352473538
coordinates.deptcode_94,0.0023170164219123786
coordinates.deptcode_95,0.002279813290764747
coordinates.deptcode_13,0.002252537492180645
IsF1Bis,0.002126453734748336
coordinates.deptcode_69,0.0019049437758533844
ehpadPrice.prixHebTempCda,0.001419770560132392
coordinates.deptcode_38,0.0013895537573235762
IsF1,0.001328771332043381
type_principal_Accueil de jour,0.0013186580328401018
