algorithm,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand_index,normalized_mutual_info
KMeans_k2,2,0,0.5287048790516687,6950.477369683507,0.7947128785262185,0.11061203143569856,0.042280520339181255
KMeans_k3,3,0,0.4965565455230371,7785.894539903999,0.7311363713226893,0.1443389640555412,0.05667079037182029
KMeans_k5,5,0,0.4521124962218962,8463.401837967729,0.6890056524212091,0.11307918460570464,0.048805240831393995
KMeans_k10,10,0,0.4406750819755405,10316.012655583632,0.6892017800465869,0.11693558087685085,0.11737959312676613
Agglomerative_k2,2,0,0.5506519204926097,6788.023242800753,0.764872091919862,0.09539702167088523,0.033851936336969396
Agglomerative_k3,3,0,0.41345579737188914,7048.588019795462,0.8427399675610547,0.06487720764460575,0.031108380949034474
Agglomerative_k5,5,0,0.4278533122003658,8167.327924830529,0.7123893490774331,0.0710364130421595,0.033701735345368564
DBSCAN_eps0.5_min10,3,206,0.523498482553593,2552.0449911031915,1.6302146728544327,0.09602997241104683,0.0353758242771878
DBSCAN_eps1.0_min10,1,88,,,,-0.0009273982721310857,5.9742604471430516e-05
DBSCAN_eps1.5_min10,2,39,0.7808148724314308,540.2221607762837,0.8431783643465919,-0.00017975218241626537,0.0005690451041633124
